Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Rides_by_Driver,Reason_for_cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating
26-02-2025,11:00:00,BK100048,Successful,CUST2048,Prime Plus,Location 9,Location 23,4.6,8.2,0,,0,,0,,320.62,21.6,4,3.4
26-02-2025,19:00:00,BK100049,Incomplete,CUST2049,Mini,Location 40,Location 19,,,0,,0,,1,Other Issue,,,,
19-02-2025,03:00:00,BK100050,Incomplete,CUST2050,Mini,Location 18,Location 1,,,0,,0,,1,Other Issue,,,,
27-02-2025,00:00:00,BK100051,Cancelled by Driver,CUST2051,Bike,Location 4,Location 18,,,0,,1,The customer was coughing/sick,0,,,,,
12-02-2025,02:00:00,BK100052,Cancelled by Customer,CUST2052,eBike,Location 41,Location 40,,,1,Driver asked to cancel,0,,0,,,,,
21-02-2025,10:00:00,BK100053,Successful,CUST2053,Auto,Location 45,Location 4,5.7,13.1,0,,0,,0,,214.66,20.1,4.4,5
23-02-2025,06:00:00,BK100054,Successful,CUST2054,Prime Plus,Location 13,Location 17,9.6,12.8,0,,0,,0,,183.17,21.4,3.7,3.8
18-02-2025,02:00:00,BK100055,Cancelled by Driver,CUST2055,Auto,Location 2,Location 38,,,0,,1,Personal & Car related issues,0,,,,,
11-02-2025,17:00:00,BK100056,Cancelled by Customer,CUST2056,Prime Plus,Location 21,Location 21,,,1,Driver asked to cancel,0,,0,,,,,
15-02-2025,11:00:00,BK100057,Successful,CUST2057,Mini,Location 34,Location 28,7.6,13.6,0,,0,,0,,112.84,10.1,3.5,4.9
01-02-2025,21:00:00,BK100058,Successful,CUST2058,Auto,Location 45,Location 13,3.3,12.2,0,,0,,0,,214.71,15.8,3.6,4.5
12-02-2025,20:00:00,BK100059,Cancelled by Driver,CUST2059,Prime Plus,Location 49,Location 9,,,0,,1,More than permitted people in there,0,,,,,
07-02-2025,19:00:00,BK100060,Successful,CUST2060,Auto,Location 42,Location 5,3.4,12.7,0,,0,,0,,183.33,16.4,4.9,3.3
14-02-2025,19:00:00,BK100061,Cancelled by Customer,CUST2061,Prime Plus,Location 41,Location 12,,,1,AC is not working,0,,0,,,,,
04-02-2025,12:00:00,BK100062,Cancelled by Customer,CUST2062,Mini,Location 5,Location 4,,,1,AC is not working,0,,0,,,,,
25-02-2025,03:00:00,BK100063,Successful,CUST2063,Auto,Location 30,Location 23,3.6,14.6,0,,0,,0,,258.12,18.5,4.8,3.9
26-02-2025,11:00:00,BK100064,Successful,CUST2064,Mini,Location 7,Location 21,9.8,13.6,0,,0,,0,,81.76,9.1,4.4,4.5
10-02-2025,18:00:00,BK100065,Cancelled by Customer,CUST2065,Prime Plus,Location 47,Location 37,,,1,Driver is not moving towards pickup location,0,,0,,,,,
05-02-2025,13:00:00,BK100066,Successful,CUST2066,Mini,Location 49,Location 11,5.6,8.4,0,,0,,0,,175.86,14.4,4.9,3.8
24-02-2025,06:00:00,BK100067,Successful,CUST2067,eBike,Location 27,Location 37,2.9,7.4,0,,0,,0,,205.82,17.1,3.8,3.8
25-02-2025,07:00:00,BK100068,Successful,CUST2068,eBike,Location 33,Location 13,8.2,13.1,0,,0,,0,,298.22,21.1,4.7,4.5
27-02-2025,08:00:00,BK100069,Cancelled by Driver,CUST2069,Auto,Location 29,Location 16,,,0,,1,More than permitted people in there,0,,,,,
24-02-2025,05:00:00,BK100070,Successful,CUST2070,Mini,Location 39,Location 9,7.7,6,0,,0,,0,,98.52,7.4,3.7,4
09-02-2025,10:00:00,BK100071,Successful,CUST2071,Mini,Location 26,Location 36,2.7,10.6,0,,0,,0,,186.84,17.1,4.9,4.4
09-02-2025,16:00:00,BK100072,Successful,CUST2072,Mini,Location 18,Location 36,5.7,14,0,,0,,0,,252.2,21.7,3.3,3.4
21-02-2025,11:00:00,BK100073,Cancelled by Customer,CUST2073,Prime Plus,Location 49,Location 19,,,1,Wrong Address,0,,0,,,,,
01-02-2025,22:00:00,BK100074,Cancelled by Customer,CUST2074,Prime Plus,Location 26,Location 29,,,1,Wrong Address,0,,0,,,,,
04-02-2025,01:00:00,BK100075,Successful,CUST2075,Prime Sedan,Location 49,Location 34,4.6,7.7,0,,0,,0,,339.76,24,4.3,3.3
21-02-2025,11:00:00,BK100076,Cancelled by Customer,CUST2076,Prime Plus,Location 48,Location 14,,,1,Change of plans,0,,0,,,,,
18-02-2025,02:00:00,BK100077,Successful,CUST2077,Prime Sedan,Location 32,Location 3,6.2,9.3,0,,0,,0,,151.67,15.8,4.3,3.5
23-02-2025,17:00:00,BK100078,Successful,CUST2078,Mini,Location 32,Location 25,5.1,9.3,0,,0,,0,,113.87,14,4.1,3.4
09-02-2025,16:00:00,BK100079,Successful,CUST2079,Mini,Location 32,Location 45,9.1,5.8,0,,0,,0,,174.9,18.9,4.6,3.4
10-02-2025,22:00:00,BK100080,Successful,CUST2080,Prime Sedan,Location 41,Location 34,4.1,5.2,0,,0,,0,,104.62,11.7,4.3,3.2
14-02-2025,22:00:00,BK100081,Successful,CUST2081,Auto,Location 4,Location 9,2.4,10.3,0,,0,,0,,135.62,14.8,3.1,4.6
06-02-2025,05:00:00,BK100082,Successful,CUST2082,eBike,Location 48,Location 30,4.7,8.7,0,,0,,0,,61.93,5.4,3.9,4.8
04-02-2025,22:00:00,BK100083,Successful,CUST2083,eBike,Location 9,Location 42,4.8,8.7,0,,0,,0,,74.82,8.6,3.9,3.6
19-02-2025,23:00:00,BK100084,Successful,CUST2084,eBike,Location 15,Location 47,9.8,6.2,0,,0,,0,,122.04,11.8,3.9,3.7
23-02-2025,14:00:00,BK100085,Successful,CUST2085,eBike,Location 38,Location 10,8.8,12,0,,0,,0,,233.9,24.2,3,4.6
26-02-2025,09:00:00,BK100086,Successful,CUST2086,Prime Sedan,Location 41,Location 9,8.1,6.8,0,,0,,0,,142.53,12,3.8,3.3
05-02-2025,17:00:00,BK100087,Cancelled by Driver,CUST2087,Prime Sedan,Location 48,Location 19,,,0,,1,Customer related issue,0,,,,,
21-02-2025,20:00:00,BK100088,Incomplete,CUST2088,Bike,Location 5,Location 11,,,0,,0,,1,Other Issue,,,,
13-02-2025,03:00:00,BK100089,Successful,CUST2089,Auto,Location 30,Location 12,8.9,9.2,0,,0,,0,,93.99,9.8,4.9,3.1
07-02-2025,06:00:00,BK100090,Successful,CUST2090,Bike,Location 19,Location 12,5.7,11.8,0,,0,,0,,162.01,18.2,4.5,4.1
16-02-2025,20:00:00,BK100091,Successful,CUST2091,eBike,Location 11,Location 1,9.6,5.4,0,,0,,0,,183.84,22.1,4,5
04-02-2025,19:00:00,BK100092,Successful,CUST2092,Bike,Location 28,Location 18,9.3,10.9,0,,0,,0,,173.26,19.5,4,3.3
14-02-2025,11:00:00,BK100093,Successful,CUST2093,Mini,Location 3,Location 31,2.6,7.2,0,,0,,0,,162.64,13.2,3.3,4.2
11-02-2025,23:00:00,BK100094,Successful,CUST2094,eBike,Location 10,Location 25,6.9,14.8,0,,0,,0,,206.78,17.2,3.3,4.6
19-02-2025,15:00:00,BK100095,Incomplete,CUST2095,Bike,Location 25,Location 24,,,0,,0,,1,Vehicle Breakdown,,,,
15-02-2025,23:00:00,BK100096,Successful,CUST2096,Prime Plus,Location 4,Location 30,8.4,10.8,0,,0,,0,,318.57,24,3,4.6
06-02-2025,02:00:00,BK100097,Successful,CUST2097,Bike,Location 11,Location 24,9.5,6.3,0,,0,,0,,134.97,13,4.7,4.8
18-02-2025,18:00:00,BK100098,Successful,CUST2098,Mini,Location 16,Location 50,9.1,14.4,0,,0,,0,,177.82,14.5,3,3.6
13-02-2025,20:00:00,BK100099,Successful,CUST2099,Bike,Location 44,Location 20,8.9,14.9,0,,0,,0,,164.06,11.3,4.4,4.1
20-02-2025,15:00:00,BK100100,Successful,CUST2100,Auto,Location 42,Location 4,3.3,13.8,0,,0,,0,,210.96,14.8,4.7,3.8
18-02-2025,02:00:00,BK100101,Successful,CUST2101,Mini,Location 49,Location 50,3.4,10.4,0,,0,,0,,189.74,19.6,4.9,3.8
03-02-2025,12:00:00,BK100102,Successful,CUST2102,Prime Sedan,Location 22,Location 20,5.2,7.3,0,,0,,0,,191.45,21,3.1,4.9
03-02-2025,00:00:00,BK100103,Successful,CUST2103,Auto,Location 1,Location 42,3.6,13.1,0,,0,,0,,28.25,2.3,3.5,3.2
20-02-2025,02:00:00,BK100104,Cancelled by Customer,CUST2104,Auto,Location 35,Location 16,,,1,Wrong Address,0,,0,,,,,
25-02-2025,11:00:00,BK100105,Incomplete,CUST2105,Prime Plus,Location 11,Location 34,,,0,,0,,1,Vehicle Breakdown,,,,
19-02-2025,12:00:00,BK100106,Successful,CUST2106,Prime Plus,Location 48,Location 11,5,12,0,,0,,0,,46.68,4.7,3.3,4.6
05-02-2025,03:00:00,BK100107,Successful,CUST2107,Prime Sedan,Location 2,Location 38,3.1,8.4,0,,0,,0,,34.22,2.3,3.2,3.2
07-02-2025,17:00:00,BK100108,Successful,CUST2108,Prime Plus,Location 4,Location 11,5.7,7.2,0,,0,,0,,44.92,3,4.7,4.8
03-02-2025,17:00:00,BK100109,Successful,CUST2109,Prime Plus,Location 33,Location 47,8.8,6.2,0,,0,,0,,214.84,14.6,4.4,5
21-02-2025,23:00:00,BK100110,Cancelled by Customer,CUST2110,Prime Sedan,Location 44,Location 28,,,1,Driver asked to cancel,0,,0,,,,,
25-02-2025,13:00:00,BK100111,Cancelled by Customer,CUST2111,Auto,Location 1,Location 16,,,1,Driver is not moving towards pickup location,0,,0,,,,,
05-02-2025,06:00:00,BK100112,Cancelled by Customer,CUST2112,Auto,Location 31,Location 45,,,1,Wrong Address,0,,0,,,,,
26-02-2025,17:00:00,BK100113,Successful,CUST2113,Auto,Location 23,Location 13,4.3,7.1,0,,0,,0,,256.5,17.3,3.5,3.3
21-02-2025,18:00:00,BK100114,Cancelled by Customer,CUST2114,Mini,Location 44,Location 7,,,1,AC is not working,0,,0,,,,,
09-02-2025,02:00:00,BK100115,Incomplete,CUST2115,eBike,Location 6,Location 47,,,0,,0,,1,Vehicle Breakdown,,,,
02-02-2025,05:00:00,BK100116,Cancelled by Customer,CUST2116,Mini,Location 44,Location 16,,,1,Driver is not moving towards pickup location,0,,0,,,,,
12-02-2025,21:00:00,BK100117,Successful,CUST2117,Bike,Location 35,Location 6,7.4,10.1,0,,0,,0,,113.42,12.2,4.8,4.8
04-02-2025,22:00:00,BK100118,Cancelled by Driver,CUST2118,Mini,Location 4,Location 19,,,0,,1,More than permitted people in there,0,,,,,
06-02-2025,07:00:00,BK100119,Cancelled by Driver,CUST2119,Prime Plus,Location 45,Location 39,,,0,,1,Personal & Car related issues,0,,,,,
08-02-2025,04:00:00,BK100120,Successful,CUST2120,Auto,Location 14,Location 22,4.4,5.1,0,,0,,0,,91.75,7.2,4,3.5
03-02-2025,21:00:00,BK100121,Successful,CUST2121,Auto,Location 45,Location 11,5.4,12.8,0,,0,,0,,82.05,6.6,4.5,3.5
19-02-2025,05:00:00,BK100122,Successful,CUST2122,Auto,Location 3,Location 24,4.5,6.8,0,,0,,0,,32.34,2.5,4,4.2
07-02-2025,06:00:00,BK100123,Cancelled by Customer,CUST2123,Prime Plus,Location 6,Location 39,,,1,Driver is not moving towards pickup location,0,,0,,,,,
26-02-2025,22:00:00,BK100124,Successful,CUST2124,eBike,Location 38,Location 26,6.1,6.4,0,,0,,0,,264.1,19.4,4.3,4.8
09-02-2025,15:00:00,BK100125,Successful,CUST2125,Mini,Location 36,Location 49,2.2,13.1,0,,0,,0,,145.03,17.9,3.3,3.7
06-02-2025,07:00:00,BK100126,Successful,CUST2126,Prime Sedan,Location 12,Location 38,4.6,10.4,0,,0,,0,,98.13,8.4,4.9,4.9
16-02-2025,19:00:00,BK100127,Successful,CUST2127,Mini,Location 25,Location 21,4.6,8.2,0,,0,,0,,237.25,18.3,4.7,3.5
07-02-2025,01:00:00,BK100128,Successful,CUST2128,Prime Plus,Location 21,Location 26,2.8,5.2,0,,0,,0,,190.18,23,3.7,4
25-02-2025,05:00:00,BK100129,Successful,CUST2129,Prime Plus,Location 49,Location 29,5.1,8.1,0,,0,,0,,319.23,23.3,3.5,4.2
19-02-2025,02:00:00,BK100130,Successful,CUST2130,Mini,Location 46,Location 32,10,10.5,0,,0,,0,,92.75,8.7,4.4,4
16-02-2025,23:00:00,BK100131,Cancelled by Customer,CUST2131,Prime Plus,Location 10,Location 17,,,1,Wrong Address,0,,0,,,,,
10-02-2025,19:00:00,BK100132,Cancelled by Customer,CUST2132,Bike,Location 19,Location 50,,,1,AC is not working,0,,0,,,,,
08-02-2025,02:00:00,BK100133,Cancelled by Customer,CUST2133,Prime Plus,Location 30,Location 25,,,1,Driver is not moving towards pickup location,0,,0,,,,,
16-02-2025,20:00:00,BK100134,Successful,CUST2134,Prime Plus,Location 48,Location 10,5.3,14.7,0,,0,,0,,59.09,4,3.7,4
15-02-2025,00:00:00,BK100135,Cancelled by Driver,CUST2135,eBike,Location 17,Location 28,,,0,,1,The customer was coughing/sick,0,,,,,
11-02-2025,17:00:00,BK100136,Incomplete,CUST2136,Prime Sedan,Location 24,Location 46,,,0,,0,,1,Vehicle Breakdown,,,,
12-02-2025,21:00:00,BK100137,Successful,CUST2137,eBike,Location 34,Location 45,5.8,11,0,,0,,0,,65.94,4.6,3.2,3.9
12-02-2025,05:00:00,BK100138,Incomplete,CUST2138,Prime Plus,Location 2,Location 11,,,0,,0,,1,Other Issue,,,,
18-02-2025,11:00:00,BK100139,Successful,CUST2139,Mini,Location 32,Location 13,7.8,8.8,0,,0,,0,,131.86,14.4,4.6,5
12-02-2025,11:00:00,BK100140,Successful,CUST2140,Prime Plus,Location 18,Location 25,4.3,7.1,0,,0,,0,,133.03,12.7,3.1,4.7
22-02-2025,13:00:00,BK100141,Successful,CUST2141,eBike,Location 9,Location 43,3.6,11.4,0,,0,,0,,98.59,11.6,3.2,3.3
27-02-2025,16:00:00,BK100142,Successful,CUST2142,eBike,Location 15,Location 33,4.5,8.4,0,,0,,0,,33.31,3.5,4.3,3.5
05-02-2025,02:00:00,BK100143,Incomplete,CUST2143,Prime Plus,Location 4,Location 10,,,0,,0,,1,Other Issue,,,,
16-02-2025,07:00:00,BK100144,Incomplete,CUST2144,Mini,Location 30,Location 49,,,0,,0,,1,Vehicle Breakdown,,,,
07-02-2025,09:00:00,BK100145,Cancelled by Driver,CUST2145,Prime Plus,Location 18,Location 48,,,0,,1,More than permitted people in there,0,,,,,
01-02-2025,16:00:00,BK100146,Successful,CUST2146,Bike,Location 29,Location 43,3.7,11.7,0,,0,,0,,253.59,24.3,3.5,4.4
12-02-2025,22:00:00,BK100147,Cancelled by Customer,CUST2147,Bike,Location 3,Location 30,,,1,Driver is not moving towards pickup location,0,,0,,,,,
24-02-2025,19:00:00,BK100148,Cancelled by Customer,CUST2148,Prime Plus,Location 2,Location 22,,,1,Change of plans,0,,0,,,,,
10-02-2025,10:00:00,BK100149,Cancelled by Driver,CUST2149,Prime Sedan,Location 48,Location 42,,,0,,1,More than permitted people in there,0,,,,,
09-02-2025,04:00:00,BK100150,Successful,CUST2150,Auto,Location 3,Location 36,9.8,10.9,0,,0,,0,,238.44,18.1,3.7,4
01-02-2025,18:00:00,BK100151,Successful,CUST2151,Bike,Location 24,Location 39,2,6.6,0,,0,,0,,113.55,11.6,3.4,3.3
05-02-2025,17:00:00,BK100152,Incomplete,CUST2152,Prime Sedan,Location 9,Location 6,,,0,,0,,1,Vehicle Breakdown,,,,
08-02-2025,23:00:00,BK100153,Cancelled by Customer,CUST2153,Auto,Location 28,Location 50,,,1,Change of plans,0,,0,,,,,
06-02-2025,08:00:00,BK100154,Successful,CUST2154,Bike,Location 4,Location 8,6.6,5.8,0,,0,,0,,148.7,16.7,3.2,3.5
02-02-2025,20:00:00,BK100155,Successful,CUST2155,Mini,Location 45,Location 27,5.9,5.7,0,,0,,0,,118.63,8.8,4.7,3.4
09-02-2025,05:00:00,BK100156,Successful,CUST2156,Auto,Location 22,Location 22,3.2,9.3,0,,0,,0,,40.93,3.7,3.8,4
05-02-2025,01:00:00,BK100157,Successful,CUST2157,Bike,Location 20,Location 35,9.6,10.1,0,,0,,0,,293.94,20.7,3.5,3.9
14-02-2025,18:00:00,BK100158,Successful,CUST2158,Prime Plus,Location 19,Location 36,8.8,8.3,0,,0,,0,,93.91,11.2,3.9,4.9
07-02-2025,06:00:00,BK100159,Successful,CUST2159,Mini,Location 9,Location 48,8.1,12.9,0,,0,,0,,31.88,3.6,3.2,3.9
17-02-2025,18:00:00,BK100160,Successful,CUST2160,Bike,Location 47,Location 23,9.1,13.1,0,,0,,0,,279.87,21.1,3.2,3.4
08-02-2025,08:00:00,BK100161,Successful,CUST2161,Auto,Location 43,Location 37,6.7,6.7,0,,0,,0,,179.73,18.3,4.6,3.6
03-02-2025,00:00:00,BK100162,Successful,CUST2162,Mini,Location 24,Location 19,4.8,11.5,0,,0,,0,,102.66,12.8,3.1,3.7
08-02-2025,10:00:00,BK100163,Successful,CUST2163,eBike,Location 41,Location 34,9.6,12.9,0,,0,,0,,328.51,24.5,4.8,3.6
09-02-2025,15:00:00,BK100164,Successful,CUST2164,Prime Sedan,Location 50,Location 40,5.8,14.4,0,,0,,0,,249.97,21.6,3.1,3.9
18-02-2025,01:00:00,BK100165,Cancelled by Customer,CUST2165,Mini,Location 50,Location 48,,,1,Driver asked to cancel,0,,0,,,,,
14-02-2025,12:00:00,BK100166,Successful,CUST2166,Mini,Location 42,Location 12,6.1,7.9,0,,0,,0,,90.14,10.5,4.4,3.2
05-02-2025,14:00:00,BK100167,Successful,CUST2167,Auto,Location 39,Location 4,9.3,10.4,0,,0,,0,,173.17,12.9,3.7,4.8
04-02-2025,06:00:00,BK100168,Successful,CUST2168,Prime Plus,Location 22,Location 40,3.1,10.1,0,,0,,0,,184.03,17.9,4.9,3.5
03-02-2025,15:00:00,BK100169,Cancelled by Driver,CUST2169,Auto,Location 26,Location 43,,,0,,1,Personal & Car related issues,0,,,,,
14-02-2025,01:00:00,BK100170,Successful,CUST2170,Auto,Location 15,Location 8,3.4,7.4,0,,0,,0,,142.86,10.9,3.7,4.9
11-02-2025,22:00:00,BK100171,Successful,CUST2171,Mini,Location 19,Location 13,4.3,13.5,0,,0,,0,,96.39,8.5,4.2,3.4
08-02-2025,06:00:00,BK100172,Cancelled by Customer,CUST2172,Prime Sedan,Location 8,Location 46,,,1,Driver asked to cancel,0,,0,,,,,
03-02-2025,10:00:00,BK100173,Successful,CUST2173,eBike,Location 3,Location 39,7.6,9.3,0,,0,,0,,78.64,6.2,4.6,4.1
17-02-2025,05:00:00,BK100174,Cancelled by Customer,CUST2174,eBike,Location 30,Location 6,,,1,Driver is not moving towards pickup location,0,,0,,,,,
09-02-2025,23:00:00,BK100175,Successful,CUST2175,Prime Sedan,Location 8,Location 29,2.1,9,0,,0,,0,,177.28,13.1,5,3.6
12-02-2025,22:00:00,BK100176,Successful,CUST2176,Prime Plus,Location 38,Location 10,3.7,9.2,0,,0,,0,,125.27,14.5,4.1,4.8
04-02-2025,15:00:00,BK100177,Incomplete,CUST2177,Mini,Location 11,Location 4,,,0,,0,,1,Vehicle Breakdown,,,,
16-02-2025,15:00:00,BK100178,Successful,CUST2178,Bike,Location 18,Location 22,9.5,9.2,0,,0,,0,,162.95,17.7,3.1,4.6
05-02-2025,20:00:00,BK100179,Successful,CUST2179,Prime Sedan,Location 47,Location 35,3.2,11,0,,0,,0,,324.82,24.4,3.1,3.9
08-02-2025,17:00:00,BK100180,Cancelled by Customer,CUST2180,Mini,Location 24,Location 20,,,1,Driver is not moving towards pickup location,0,,0,,,,,
19-02-2025,10:00:00,BK100181,Cancelled by Customer,CUST2181,Mini,Location 29,Location 42,,,1,Wrong Address,0,,0,,,,,
07-02-2025,19:00:00,BK100182,Cancelled by Driver,CUST2182,Prime Sedan,Location 6,Location 17,,,0,,1,Customer related issue,0,,,,,
23-02-2025,17:00:00,BK100183,Successful,CUST2183,Prime Plus,Location 1,Location 21,2.1,13.2,0,,0,,0,,83.27,8.1,3.4,4.8
